;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;
108;1;1;;1;1;;;1;;;1;1;1;;;;;;;;8
109;;;;;;;;;;;;;;;;;;;;;
110;;;;;;;;;;;;;;;;;;;;;
111;;;;;;;;;;;;;;;;;;;;;
112;;;;;;;;;;;;;;;;;;;;;
113;;;;;;;;;;;;;;;;;;;;;
114;1;1;;;1;;1;1;1;;1;;1;;;1;;;1;;10
115;;;;;;;;;;;;;;;;;;;;;
116;;;;;;;;;;;;;;;;;;;;;
117;;;;1;1;;;;;;1;;1;1;;1;1;1;;;8
118;;;;;;;;;;;;;;;;;;;;;
119;;;;;;;;;;;;;;;;;;;;;
120;;1;1;1;1;;1;;;;1;;1;;1;1;;1;1;;11
121;;1;;1;1;;1;;1;;1;1;1;;1;;;;;;9
122;;;;;;;;;;;;;;;;;;;;;
123;;1;1;1;1;;1;;1;;;1;1;;1;1;1;1;1;;13
124;;;1;1;1;;;;;;;1;1;;;;;;;;5
125;;;;;;;;;;;;;;;;;;;;;
126;;;;;;;;;;;;;;;;;;;;;
127;;;;;;;;;;;;;;;;;;;;;
128;1;1;;;1;;1;1;;;;1;1;;;1;;1;;;9
129;1;;;1;1;;1;1;1;;1;1;1;;;;;;;;9
130;;;;;;;;;;;;;;;;;;;;;
131;1;1;1;1;1;1;1;;;;1;1;1;1;1;1;;;;1;14
132;;;;;;;;;;;;;;;;;;;;;
133;;1;1;1;1;;1;;;;1;;1;1;;1;;;;;9
134;;;;;;;;;;;;;;;;;;;;;
135;;1;;1;1;1;1;;1;;;1;1;1;1;;;;1;;11
136;;;;;;;;;;;;;;;;;;;;;
137;;;;;;;;;;;;;;;;;;;;;
138;;;;1;1;;;;;;1;1;1;;;;;;;;5
139;1;1;;;1;;1;1;1;;;1;1;;;;1;;;;9
140;;;;;;;;;;;;;;;;;;;;;
141;1;1;1;1;1;1;1;;;;;1;1;1;;;1;;1;;12
142;;;1;1;1;;1;;1;1;1;1;1;1;1;;1;;;;12
143;;1;;;1;;;;;;1;1;1;;;;1;;;;6
144;;;;;;;;;;;;;;;;;;;;;
145;;;;;;;;;;;;;;;;;;;;;
146;1;1;1;1;1;1;1;;1;;1;1;1;1;1;1;;;;;14
147;;;;;;;;;;;;;;;;;;;;;
148;;;;;;;;;;;;;;;;;;;;;
149;1;1;;;1;;1;1;;1;1;1;1;;;;;1;;1;11
150;1;1;1;;1;;;1;;;;1;1;;1;;1;;;;9
151;;1;1;1;1;1;;1;1;;;1;1;;1;1;;;;;11
152;;;;;;;;;;;;;;;;;;;;;
153;;;;;;;;;;;;;;;;;;;;;
154;1;1;;1;1;;1;;1;;1;1;1;;;;1;;;;10
155;;;;;;;;;;;;;;;;;;;;;
156;;;1;1;1;1;1;1;1;;1;1;1;;1;1;1;;;;13
157;;;;;;;;;;;;;;;;;;;;;
158;1;1;1;;1;;;;;;;;1;;;1;;;;;6
159;;;;;;;;;;;;;;;;;;;;;
160;;;;;;;;;;;;;;;;;;;;;
161;;;;;;;;;;;;;;;;;;;;;
162;;1;;1;1;;1;1;;;;1;1;;1;;;1;;;9
163;;;;;;;;;;;;;;;;;;;;;
164;;;;;;;;;;;;;;;;;;;;;
165;;;;;;;;;;;;;;;;;;;;;
166;;1;1;1;1;1;1;1;;;;1;1;;;1;;;1;;11
167;;1;1;1;1;1;;;;;;1;1;;1;1;;;1;;10
168;;1;;1;1;1;1;1;;;1;1;1;1;;;1;;;;11
169;;;;;;;;;;;;;;;;;;;;;
170;;;;;;;;;;;;;;;;;;;;;
171;;1;1;1;1;;1;1;1;;;;1;;1;1;;1;;;11
172;1;;1;1;1;;1;;1;1;;1;1;;;;;1;;;10
173;;;;;;;;;;;;;;;;;;;;;
174;;;;;;;;;;;;;;;;;;;;;
175;;;;;;;;;;;;;;;;;;;;;
176;;;;;;;;;;;;;;;;;;;;;
177;;;;;;;;;;;;;;;;;;;;;
178;1;1;;1;1;;;;;;;1;1;;1;;;;;;7
179;;;;;;;;;;;;;;;;;;;;;
180;;1;1;1;1;1;1;1;;;1;1;1;1;;;;;;;11
181;;;;;;;;;;;;;;;;;;;;;
182;1;;;;1;;1;1;;;;1;1;;;;1;1;;;8
183;;;;;;;;;;;;;;;;;;;;;
184;;;;;;;;;;;;;;;;;;;;;
185;;;;;;;;;;;;;;;;;;;;;
186;1;;;1;1;1;1;1;;;1;;1;1;;;;;;;9
187;;;;;;;;;;;;;;;;;;;;;
188;;1;1;1;1;;1;1;;;1;1;1;1;1;;1;;;;12
189;;;;;;;;;;;;;;;;;;;;;
190;;;;;;;;;;;;;;;;;;;;;
191;;;;;;;;;;;;;;;;;;;;;
192;;1;1;1;1;1;;1;1;;;;1;;;;1;;;;9
193;;;;;;;;;;;;;;;;;;;;;
194;1;1;1;1;1;1;1;1;1;;1;;1;;;1;1;;;;13
195;1;1;1;1;1;;;1;1;1;1;;1;;;1;1;1;;;13
196;;;;;;;;;;;;;;;;;;;;;
197;1;;1;1;1;1;1;;;;1;1;1;;1;;;;;;10
198;;;;;;;;;;;;;;;;;;;;;
199;1;1;1;;1;1;1;;1;;1;;1;;1;1;;;;;11
total;54;73;55;69;90;46;57;52;41;10;54;62;87;34;31;36;36;21;21;5;10,37777778
