;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;
102;;;;;;;;;;;;;;;;;;;;;;;;
103;;;;;;;;;;;;;;;;;;;;;;;;
104;;;;;;;;;;;;;;;;;;;;;;;;
105;;;;;;;;;;;;;;;;;;;;;;;;
106;;;;;;;;;;;;;;;;;;;;;;;;
107;;;;;;;;;;;;;;;;;;;;;;;;
108;1;;1;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
109;;;;;;;;;;;;;;;;;;;;;;;;
110;;;;;;;;;;;;;;;;;;;;;;;;
111;;;;;;;;;;;;;;;;;;;;;;;;
112;;;;;;;;;;;;;;;;;;;;;;;;
113;;;;;;;;;;;;;;;;;;;;;;;;
114;;;;;;;;;;;;;;;;;;;;;;;;
115;;;;;;;;;;;;;;;;;;;;;;;;
116;;;;;;;;;;;;;;;;;;;;;;;;
117;1;1;1;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;16
118;;;;;;;;;;;;;;;;;;;;;;;;
119;;;;;;;;;;;;;;;;;;;;;;;;
120;1;;1;;1;1;1;1;;;;1;1;1;1;1;1;1;1;1;1;1;1;18
121;1;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;14
122;1;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;14
123;;;;;;;;;;;;;;;;;;;;;;;;
124;;;;;;;;;;;;;;;;;;;;;;;;
125;;;;;;;;;;;;;;;;;;;;;;;;
126;;;;;;;;;;;;;;;;;;;;;;;;
127;;;;;;;;;;;;;;;;;;;;;;;;
128;;;;;;;;;;;;;;;;;;;;;;;;
129;;;;;;;;;;;;;;;;;;;;;;;;
130;;;;;;;;;;;;;;;;;;;;;;;;
131;;;;;;;;;;;;;;;;;;;;;;;;
132;1;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;14
133;;;;;;;;;;;;;;;;;;;;;;;;
134;;;;;;;;;;;;;;;;;;;;;;;;
135;;;;;;;;;;;;;;;;;;;;;;;;
136;1;;1;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
137;;;;;;;;;;;;;;;;;;;;;;;;
138;1;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;20
139;1;;;;1;;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;17
140;;;;;;;;;;;;;;;;;;;;;;;;
141;;;;;;;;;;;;;;;;;;;;;;;;
142;;;;;;;;;;;;;;;;;;;;;;;;
143;;;;;;;;;;;;;;;;;;;;;;;;
144;;;;;;;;;;;;;;;;;;;;;;;;
145;1;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;14
146;;;;;;;;;;;;;;;;;;;;;;;;
147;1;1;1;;1;1;1;;;;;1;1;1;1;1;1;1;1;1;1;1;1;18
148;1;;;;1;;;1;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
149;1;;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;21
150;;;;;;;;;;;;;;;;;;;;;;;;
151;1;1;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
152;;;;;;;;;;;;;;;;;;;;;;;;
153;1;;;;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
154;;;;;;;;;;;;;;;;;;;;;;;;
155;;;;;;;;;;;;;;;;;;;;;;;;
156;;;;;;;;;;;;;;;;;;;;;;;;
157;;;;;;;;;;;;;;;;;;;;;;;;
