;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;
449;1;;;;1;1;1;1;;1;1;1;1;1;1;1;1;1;;;1;;;15
450;;;;;;;;;;;;;;;;;;;;;;;;
451;1;;1;;1;;1;1;;1;1;1;1;1;1;1;1;1;1;;1;1;1;18
452;;;;;;;;;;;;;;;;;;;;;;;;
453;;;;;;;;;;;;;;;;;;;;;;;;
454;;;;;;;;;;;;;;;;;;;;;;;;
455;1;;;;;1;1;;1;;;1;1;1;1;1;1;1;1;1;1;1;1;16
456;;;;;;;;;;;;;;;;;;;;;;;;
457;1;;1;;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;16
458;1;;;;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;15
459;;;;;;;;;;;;;;;;;;;;;;;;
460;1;;1;1;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;16
461;;;;;;;;;;;;;;;;;;;;;;;;
462;;;;;;;;;;;;;;;;;;;;;;;;
463;;;;;;;;;;;;;;;;;;;;;;;;
464;;;;;;;;;;;;;;;;;;;;;;;;
465;;;;;;;;;;;;;;;;;;;;;;;;
466;;;;;;;;;;;;;;;;;;;;;;;;
467;;;;;;;;;;;;;;;;;;;;;;;;
468;;;;;;;;;;;;;;;;;;;;;;;;
469;1;;;;1;;;;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;16
470;;;;;;;;;;;;;;;;;;;;;;;;
471;;;;;;;;;;;;;;;;;;;;;;;;
472;1;;;;1;1;;1;1;;;1;1;1;1;1;1;1;1;1;1;1;1;17
473;;;;;;;;;;;;;;;;;;;;;;;;
474;1;;1;;1;;;;;;;1;1;1;1;1;1;;;;;;;9
475;;;;;;;;;;;;;;;;;;;;;;;;
476;;;;;;;;;;;;;;;;;;;;;;;;
477;1;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;20
478;1;1;1;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
479;;;;;;;;;;;;;;;;;;;;;;;;
480;;;;;;;;;;;;;;;;;;;;;;;;
481;;;;;;;;;;;;;;;;;;;;;;;;
482;;;;;;;;;;;;;;;;;;;;;;;;
483;1;1;;;1;1;1;;;;;1;1;1;1;1;1;1;1;1;1;1;1;17
484;;;;;;;;;;;;;;;;;;;;;;;;
485;1;1;1;1;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;17
486;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;19
487;;;;;;;;;;;;;;;;;;;;;;;;
488;1;;;1;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
489;1;;;;1;1;1;;1;;;1;1;1;1;1;1;1;1;1;1;1;1;17
490;1;;1;;1;1;;;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;18
491;;;;;;;;;;;;;;;;;;;;;;;;
492;;;;;;;;;;;;;;;;;;;;;;;;
493;;;;;;;;;;;;;;;;;;;;;;;;
494;;;;;;;;;;;;;;;;;;;;;;;;
495;1;;1;;1;1;;;1;;;1;1;1;1;1;1;1;1;1;1;1;1;17
496;;;;;;;;;;;;;;;;;;;;;;;;
497;;;;;;;;;;;;;;;;;;;;;;;;
498;1;1;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
499;;;;;;;;;;;;;;;;;;;;;;;;
total;54;13;21;6;54;27;16;18;13;10;14;57;56;56;57;58;56;55;55;55;54;55;51;15,85820896
