;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;hamming
110;1;;1;1;1;;1;;;;;;1;1;;;1;;;;8
111;1;1;1;1;1;1;1;1;1;;;;1;1;;1;1;;;;13
112;;;;;;;;;;;;;;;;;;;;;
113;1;1;1;1;1;1;;;;;;1;1;1;;;;1;;;10
114;;;;;;;;;;;;;;;;;;;;;
115;1;1;1;;1;;1;;;;;1;1;;1;1;;;;;9
116;1;1;;;1;1;1;1;1;1;1;1;1;;1;;;;;;12
117;;;;;;;;;;;;;;;;;;;;;
118;;;;;;;;;;;;;;;;;;;;;
119;;;;;;;;;;;;;;;;;;;;;
120;1;1;;1;1;;1;;;;;1;1;;1;;;;1;;9
121;;;;;;;;;;;;;;;;;;;;;
122;;;;;;;;;;;;;;;;;;;;;
123;1;1;1;1;1;1;1;;1;;;1;1;;1;1;1;1;1;;15
124;;;;;;;;;;;;;;;;;;;;;
125;;;;;;;;;;;;;;;;;;;;;
126;;;;;;;;;;;;;;;;;;;;;
127;;;;;;;;;;;;;;;;;;;;;
128;1;1;1;1;1;;1;1;1;;1;;1;;1;;;1;;;12
129;;1;;1;1;;1;1;;;1;1;1;;;;;;;;8
130;;;;;;;;;;;;;;;;;;;;;
131;;;;;;;;;;;;;;;;;;;;;
132;;;;;;;;;;;;;;;;;;;;;
133;;1;1;1;1;1;;;;;;1;1;;1;;;;;;8
134;;;;;;;;;;;;;;;;;;;;;
135;1;;1;1;1;;;;1;;;1;1;;1;;1;;;;9
136;;;;;;;;;;;;;;;;;;;;;
137;;;;;;;;;;;;;;;;;;;;;
138;1;1;1;1;1;;;1;;;;1;1;;1;;1;;1;;11
139;1;1;1;1;1;;;;1;;1;1;1;1;1;1;;;;;12
140;1;1;;1;1;;1;1;1;1;1;;1;1;;1;1;;;;13
141;;1;;1;1;;1;1;1;;;1;1;;1;;1;;;;10
142;;1;;1;1;;1;1;1;1;1;;1;1;1;1;;;;;12
143;1;1;;;1;;;1;;1;1;;1;1;;;1;;;;9
144;;;;;;;;;;;;;;;;;;;;;
145;;;;;;;;;;;;;;;;;;;;;
146;;;;;;;;;;;;;;;;;;;;;
147;;;;;;;;;;;;;;;;;;;;;
148;;;;;;;;;;;;;;;;;;;;;
149;;;;;;;;;;;;;;;;;;;;;
