;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20
63;0;0,243888334;1;0;0,145499874;0;0;0;1;0;1,790933071;0;1,369338488;0;0;1,690308509;0;0;0;0
64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;1;0,975553336;1;0;1,111059677;0;1;0,90359089;1;1;0;0;2,556098511;0;1;1,690308509;1;0;1;0
68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;1;2,194995005;1;1;2,278721135;1;1;0;0;0;0,895466535;1;0,456446163;0;1;0;0;2,523973287;1;0
70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;1;0,975553336;0;0;0,872333339;0;1;1,807181779;0;1;0;0;0,639024628;1;1;1,690308509;0;2,523973287;0;0
76;1;0,487776668;0;0;1,092414384;1;0;0;0;0;0;1;0,091289233;0;1;0;0;0;0;0
77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;0;0;0;1;0,49043779;1;1;0;0;0;0;0;0,182578465;0;0;0;0;0;1;0
79;1;0;1;0;0,791426087;1;1;0,90359089;1;0;2,686399606;1;0,73031386;1;0;0;1;0;0;0
80;1;1,951106671;1;0;0,187118831;1;0;1,807181779;0;0;1,790933071;0;0,547735395;1;0;0;0;0;0;0
81;1;0,487776668;1;1;0,233399111;1;1;1,807181779;0;0;1,790933071;1;1,278049255;0;1;3,380617019;1;0;0;0
82;0;0,975553336;1;1;0,359587789;0;1;2,710772669;0;1;0,895466535;1;0,639024628;0;1;1,690308509;1;0;0;0
83;0;1,951106671;1;1;0,48244695;0;0;0;0;0;0;1;0,456446163;1;0;0;1;2,523973287;0;0
84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;1;1,463330004;1;0;0,812402041;1;0;1,807181779;0;0;0,895466535;0;0,547735395;0;0;3,380617019;1;0;1;0
87;0;0;1;1;0,024305471;0;0;0;1;1;0,895466535;1;0,091289233;0;0;0;1;2,523973287;0;0
88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;0;0,243888334;0;1;0,327291478;0;0;0;0;0;1,790933071;1;0,456446163;0;0;0;1;0;0;0
90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;0;0,487776668;1;1;0,399541987;1;0;0;1;0;1,790933071;1;2,738676976;0;0;3,380617019;0;0;1;0
92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;1;0,731665002;1;0;0,180792749;0;1;0;1;0;0,895466535;1;0,182578465;0;0;0;0;0;0;0
94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;1;0,975553336;0;1;0,215419722;1;0;0,90359089;0;0;1,790933071;0;0,36515693;0;0;0;0;0;0;0
97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;1;2,926660007;0;1;0,657579521;1;1;1,807181779;0;0;1,790933071;0;0,182578465;0;1;0;0;0;1;0
102;1;0,487776668;0;1;0,023306616;0;1;0;1;0;0,895466535;1;0,639024628;0;0;0;0;0;0;0
103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;1;0,487776668;1;1;0,450483591;0;1;0;1;0;0,895466535;1;0,821603093;0;1;0;0;0;1;0
106;1;1,951106671;0;1;0,018645293;0;1;0,90359089;1;0;0;1;0,36515693;1;0;0;1;0;0;0
107;1;0,894257224;1;1;0,971219981;1;1;1,807181779;1;0;0;1;3,195123139;1;1;0;1;2,523973287;0;0
108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;1;0,243888334;0;0;0,15282481;1;1;0,90359089;0;0;0,895466535;1;0,273867698;0;0;1,690308509;0;0;1;0
110;1;0;1;1;0,044615522;0;1;0;0;0;0;0;2,190941581;1;0;0;1;0;0;0
111;1;1,463330004;1;1;0,124523919;1;1;2,710772669;1;0;0;0;0,091289233;1;0;1,690308509;1;0;0;0
112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;1;0,487776668;1;1;0,372239952;1;0;0;0;0;0;1;0,182578465;1;0;0;0;2,523973287;0;0
114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;1;0,731665002;1;0;0,055935878;0;1;0;0;0;0;1;0,182578465;0;1;1,690308509;0;0;0;0
116;1;2,682771673;0;0;0,449817688;1;1;0,90359089;1;1;2,686399606;1;1,278049255;0;1;0;0;0;0;0
117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;1;0,975553336;0;1;0,20909364;0;1;0;0;0;0;1;0,273867698;0;1;0;0;0;1;0
121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;1;0,731665002;1;1;0,026969084;1;1;0;1;0;0;1;1,369338488;0;1;1,690308509;1;2,523973287;1;0
124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;1;0,975553336;1;1;0,880324179;0;1;1,807181779;1;0;0,895466535;0;2,556098511;0;1;0;0;2,523973287;0;0
129;0;0,975553336;0;1;0,212756108;0;1;1,807181779;0;0;1,790933071;1;0,912892325;0;0;0;0;0;0;0
130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;0;0,243888334;1;1;3,332846079;1;0;0;0;0;0;1;0,456446163;0;1;0;0;0;0;0
134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135;1;0;1;1;0,257038679;0;0;0;1;0;0;1;0,36515693;0;1;0;1;0;0;0
136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;1;1,463330004;1;1;0,04028715;0;0;2,710772669;0;0;0;1;2,464809278;0;1;0;1;0;1;0
